"Date","Price","Open","High","Low","Change %"
"Oct 20, 2021","6.316","6.358","6.383","6.316","-0.27%"
"Oct 18, 2021","6.333","6.333","6.384","6.316","1.07%"
"Oct 14, 2021","6.266","6.291","6.291","6.264","-0.08%"
"Oct 13, 2021","6.271","6.318","6.318","6.271","-0.63%"
"Oct 12, 2021","6.311","6.318","6.335","6.311","-0.11%"
"Oct 11, 2021","6.318","6.386","6.386","6.310","0.53%"
"Oct 08, 2021","6.285","6.277","6.319","6.260","0.42%"
"Oct 07, 2021","6.259","6.269","6.269","6.252","-0.03%"
"Oct 06, 2021","6.261","6.269","6.274","6.258","0.29%"
"Oct 05, 2021","6.243","6.278","6.278","6.243","0.24%"
"Oct 04, 2021","6.228","6.261","6.261","6.228","-0.11%"
"Oct 01, 2021","6.235","6.253","6.253","6.212","0.76%"
"Sep 30, 2021","6.188","6.221","6.238","6.188","-0.05%"
"Sep 29, 2021","6.191","6.205","6.205","6.188","-0.10%"
"Sep 28, 2021","6.197","6.205","6.205","6.180","0.11%"
"Sep 27, 2021","6.190","6.222","6.222","6.180","0.15%"
"Sep 24, 2021","6.181","6.181","6.197","6.164","1.05%"
"Sep 23, 2021","6.117","6.173","6.173","6.117","-0.39%"
"Sep 22, 2021","6.141","6.180","6.180","6.134","0.11%"
"Sep 21, 2021","6.134","6.182","6.182","6.133","0.02%"
"Sep 20, 2021","6.133","6.199","6.199","6.133","-0.68%"
"Sep 17, 2021","6.175","6.224","6.224","6.175","-0.02%"
"Sep 16, 2021","6.176","6.225","6.225","6.176","-0.27%"
"Sep 15, 2021","6.193","6.226","6.226","6.193","-0.53%"
"Sep 14, 2021","6.226","6.218","6.259","6.218","0.13%"
"Sep 13, 2021","6.218","6.210","6.226","6.201","0.26%"
"Sep 09, 2021","6.202","6.207","6.207","6.194","-0.14%"
"Sep 08, 2021","6.211","6.228","6.236","6.198","-0.27%"
"Sep 07, 2021","6.228","6.220","6.228","6.200","0.58%"
"Sep 06, 2021","6.192","6.228","6.228","6.170","-0.06%"
"Sep 03, 2021","6.196","6.229","6.229","6.196","-0.27%"
"Sep 02, 2021","6.213","6.235","6.255","6.210","-0.27%"
"Sep 01, 2021","6.230","6.247","6.247","6.230","-0.27%"
"Aug 31, 2021","6.247","6.255","6.255","6.245","0.05%"
"Aug 30, 2021","6.244","6.260","6.260","6.241","-0.32%"
"Aug 27, 2021","6.264","6.289","6.289","6.264","-0.41%"
"Aug 26, 2021","6.290","6.306","6.306","6.287","-0.08%"
"Aug 25, 2021","6.295","6.331","6.331","6.293","-0.16%"
"Aug 24, 2021","6.305","6.315","6.332","6.305","-0.14%"
"Aug 23, 2021","6.314","6.334","6.398","6.307","-0.03%"
"Aug 20, 2021","6.316","6.316","6.324","6.309","-0.16%"
"Aug 18, 2021","6.326","6.400","6.400","6.325","-0.52%"
"Aug 17, 2021","6.359","6.400","6.400","6.355","-0.27%"
"Aug 13, 2021","6.376","6.434","6.434","6.376","-0.27%"
"Aug 12, 2021","6.393","6.410","6.410","6.393","-0.22%"
"Aug 11, 2021","6.407","6.407","6.410","6.400","0.08%"
