stock,year,ratio_cfo_ebitda,ratio_debt_equity
MGL,2020,0.855399531,0.022558684
MGL,2021,0.794035553,0.022925832
MGL,2022,0.894684177,0.028629178
MPHASIS,2016,0.705981058,0.078695071
MPHASIS,2017,0.557025718,0.042285896
MPHASIS,2018,0.597096231,0.071122857
MPHASIS,2019,0.632919904,0.10335444
MPHASIS,2020,0.722578553,0.222208251
MPHASIS,2021,0.751381204,0.180964376
MPHASIS,2022,0.75315653,0.180312312
MUTHOOTFIN,2016,0.029507709,
MUTHOOTFIN,2017,,
MUTHOOTFIN,2018,-0.281792995,
MUTHOOTFIN,2019,,
MUTHOOTFIN,2020,,
MUTHOOTFIN,2021,,
MUTHOOTFIN,2022,-0.164415244,
NAM-INDIA,2018,,
NAM-INDIA,2019,0.543495094,0.0
NAM-INDIA,2020,1.010388656,0.031403174
NAM-INDIA,2021,0.498480409,0.016601459
NAM-INDIA,2022,0.568347864,0.013563133
NATIONALUM,2016,0.544351674,0.0
NATIONALUM,2017,0.992384033,0.005006296
NATIONALUM,2018,0.630843012,0.004283151
NATIONALUM,2019,0.74816209,0.006370089
NATIONALUM,2020,,0.006787163
NATIONALUM,2021,1.139998963,0.009558939
NATIONALUM,2022,0.822254581,0.006142257
NESCO,2016,0.617173586,0.0
NESCO,2017,0.592465775,0.0
NESCO,2018,0.574428225,0.0
NESCO,2019,0.645904471,0.0
NESCO,2020,0.649513277,0.0
NESCO,2021,0.518472462,0.0
NESCO,2022,0.618265811,0.000352527
NEWGEN,2018,,
NEWGEN,2019,0.690112457,0.162928981
NEWGEN,2020,0.717185296,0.201860831
NEWGEN,2021,1.042313686,0.030180711
NEWGEN,2022,0.635745217,0.034290562
NUCLEUS,2016,0.573166432,0.002823437
NUCLEUS,2017,1.105673099,0.0
NUCLEUS,2018,0.880105251,0.0
NUCLEUS,2019,0.525531716,0.0
NUCLEUS,2020,0.568505135,0.011268007
NUCLEUS,2021,0.680284192,0.009374721
NUCLEUS,2022,0.804435765,0.004720421
ORISSAMINE,2016,,0.0
ORISSAMINE,2017,,0.0
ORISSAMINE,2018,,0.068391068
ORISSAMINE,2019,,0.911741227
ORISSAMINE,2020,,
ORISSAMINE,2021,,
ORISSAMINE,2022,,
PETRONET,2016,,0.392430123
PETRONET,2017,0.699364423,0.271202854
PETRONET,2018,0.817955187,0.148099791
PETRONET,2019,0.560747027,0.07168704
PETRONET,2020,0.666501386,0.362661542
PETRONET,2021,0.700967987,0.309389425
PETRONET,2022,0.614479537,0.251571361
PFC,2016,,
PFC,2017,0.081345043,
PFC,2018,,
PFC,2019,,
PFC,2020,,
PFC,2021,,
PFC,2022,0.023962592,
PILANIINVS,2016,1.172364095,0.001856399
PILANIINVS,2017,0.504951773,0.001797143
PILANIINVS,2018,0.777709295,0.0
PILANIINVS,2019,,0.047964167
PILANIINVS,2020,,0.082176573
PILANIINVS,2021,,0.082245078
PILANIINVS,2022,,0.096043101
PUNJABCHEM,2016,1.304374922,
PUNJABCHEM,2017,,2.591368385
PUNJABCHEM,2018,1.098783107,1.575569637
PUNJABCHEM,2019,1.059269576,1.006273388
PUNJABCHEM,2020,0.620298722,1.014731458
PUNJABCHEM,2021,0.439535601,0.608247423
PUNJABCHEM,2022,0.243990897,0.413615814
RAILTEL,2021,,
RAILTEL,2022,0.591409173,0.020639152
RATEGAIN,2022,,
RAYMOND,2016,0.659854058,1.18740474
RAYMOND,2017,0.899997259,1.228040421
RAYMOND,2018,0.701829102,1.246344548
RAYMOND,2019,0.363614107,1.211621583
RAYMOND,2020,0.487189674,1.207375399
RAYMOND,2021,,1.107132656
RAYMOND,2022,0.953253465,0.9552086
RBLBANK,2017,,1.840206884
RBLBANK,2018,,1.38632777
RBLBANK,2019,0.040312389,1.570324487
RBLBANK,2020,,1.609752165
RBLBANK,2021,,0.886304123
RBLBANK,2022,,0.885659827
RELAXO,2016,0.643901454,0.492499687
RELAXO,2017,0.736954032,0.294275772
RELAXO,2018,0.503180558,0.201468714
RELAXO,2019,0.366064811,0.101351046
RELAXO,2020,0.76291866,0.130894373
RELAXO,2021,0.990082198,0.091680923
RELAXO,2022,0.127403463,0.098879622
RELIANCE,2016,0.70627674,0.769075228
RELIANCE,2017,0.892326532,0.737358697
RELIANCE,2018,0.963267012,0.736464172
RELIANCE,2019,0.45702383,0.727139143
RELIANCE,2020,0.969755509,0.747790709
RELIANCE,2021,0.261165255,0.325387275
RELIANCE,2022,0.86096652,0.317186811
RELINFRA,2016,1.408010153,1.495674406
RELINFRA,2017,1.060842396,1.203924958
RELINFRA,2018,1.092280692,1.172389532
RELINFRA,2019,1.484999783,1.120114586
RELINFRA,2020,0.624382637,1.468402539
RELINFRA,2021,0.204662629,0.950260879
RELINFRA,2022,1.108663621,0.771195095
SANSERA,2022,0.610354528,0.720995329
SHALBY,2018,,
SHALBY,2019,0.473586573,0.090818862
SHALBY,2020,0.55874073,0.083968128
SHALBY,2021,0.829023034,0.064846874
SHALBY,2022,0.147884957,0.198672881
SHILPAMED,2016,0.768676657,0.141419258
SHILPAMED,2017,0.207893188,0.245377027
SHILPAMED,2018,0.254284868,0.176943935
SHILPAMED,2019,0.809080496,0.163062258
SHILPAMED,2020,0.526164343,0.296624984
SHILPAMED,2021,0.173230898,0.576462596
SHILPAMED,2022,0.470960257,0.377268383
SHOPERSTOP,2016,0.757705813,1.613275473
SHOPERSTOP,2017,0.531104844,1.827078689
SHOPERSTOP,2018,0.7749727,0.138594047
SHOPERSTOP,2019,0.76472814,0.081403739
SHOPERSTOP,2020,1.000086795,
SHOPERSTOP,2021,-0.010991468,
SHOPERSTOP,2022,0.824744046,
SHREECEM,2016,0.753101618,0.128627608
SHREECEM,2017,0.765801364,0.167904651
SHREECEM,2018,0.656481934,0.382500849
SHREECEM,2019,0.683443735,0.287948605
SHREECEM,2020,0.985045246,0.238716778
SHREECEM,2021,0.941581022,0.144342162
SHREECEM,2022,0.627196261,0.12159627
SIS,2018,0.640176607,0.540863944
SIS,2019,0.554642441,0.779785929
SIS,2020,0.353835206,0.954340001
SIS,2021,0.88476415,0.803673106
SIS,2022,0.421639318,0.699418554
SOBHA,2016,0.808767338,0.850076399
SOBHA,2017,0.771882629,0.840222153
SOBHA,2018,0.620867732,0.841632878
SOBHA,2019,0.275954561,1.168128087
SOBHA,2020,0.24797164,1.287750787
SOBHA,2021,0.810891202,1.256986862
SOBHA,2022,0.837975487,1.001312477
SPARC,2016,0.554533881,1.752933741
SPARC,2017,,0.019835466
SPARC,2018,,0.012369244
SPARC,2019,,0.005521617
SPARC,2020,,
SPARC,2021,,
SPARC,2022,,
STAR,2016,0.164276919,1.307856972
STAR,2017,0.35732205,1.283564582
STAR,2018,0.177133253,0.962440601
STAR,2019,0.110998982,1.149844128
STAR,2020,0.541864896,0.861256699
STAR,2021,0.745567821,0.834478796
STAR,2022,,1.26925049
SUMICHEM,2020,,
SUMICHEM,2021,0.841669684,0.021173671
SUMICHEM,2022,0.353880251,0.019501747
TATAMOTORS,2016,1.00861082,0.873713442
TATAMOTORS,2017,0.995254955,1.343311961
TATAMOTORS,2018,0.673647836,0.927253216
TATAMOTORS,2019,0.683713215,1.749106381
TATAMOTORS,2020,1.270642197,1.953099985
TATAMOTORS,2021,0.830231757,2.501408742
TATAMOTORS,2022,0.514257003,
THYROCARE,2017,0.702895707,0.0
THYROCARE,2018,0.638146912,0.0
THYROCARE,2019,0.610975758,0.005745541
THYROCARE,2020,0.927413555,0.033928815
THYROCARE,2021,0.624823004,0.019869875
THYROCARE,2022,0.429648432,0.039311013
TORNTPHARM,2016,0.991735896,0.672954535
TORNTPHARM,2017,0.630300455,0.576959146
TORNTPHARM,2018,0.542537119,1.397950553
TORNTPHARM,2019,1.06831442,1.278080583
TORNTPHARM,2020,0.607817041,1.20520731
TORNTPHARM,2021,0.790444582,0.835015941
TORNTPHARM,2022,0.841288209,0.683635844
TRIDENT,2016,0.697466878,1.413185009
TRIDENT,2017,1.006428989,1.033574551
TRIDENT,2018,0.521048946,1.026259803
TRIDENT,2019,0.63875386,0.819284768
TRIDENT,2020,1.402121048,0.658956113
TRIDENT,2021,0.625377756,0.469380949
TRIDENT,2022,0.58781236,0.415301143
UFLEX,2016,1.03752626,0.61983998
UFLEX,2017,0.866881901,0.57686264
UFLEX,2018,0.721301746,0.522512841
UFLEX,2019,0.549273161,0.489060177
UFLEX,2020,0.765227525,0.771979981
UFLEX,2021,0.642837501,0.727196001
UFLEX,2022,0.303530799,0.714865594
UNIONBANK,2016,,1.329246132
UNIONBANK,2017,,1.711051145
UNIONBANK,2018,,1.808994867
UNIONBANK,2019,,1.612615785
UNIONBANK,2020,,1.550896879
UNIONBANK,2021,,0.802039133
UNIONBANK,2022,,0.723177906
UNOMINDA,2016,0.569044006,0.670611711
UNOMINDA,2017,0.862845208,0.426193836
UNOMINDA,2018,0.598040997,0.379933862
UNOMINDA,2019,0.550338336,0.548605438
UNOMINDA,2020,1.546921795,0.612728087
UNOMINDA,2021,0.44292084,0.452290657
UNOMINDA,2022,0.403741314,0.250691281
USHAMART,2016,,
USHAMART,2017,1.346514048,
USHAMART,2018,,
USHAMART,2019,,
USHAMART,2020,0.276523731,0.490175932
USHAMART,2021,0.69356095,0.376541323
USHAMART,2022,0.352307316,0.242379073
