stock,year,total_risk
SUMICHEM,2022,0.022475687905039846
TATAMOTORS,2016,0.02582667887065033
TATAMOTORS,2017,0.022871350577711225
TATAMOTORS,2018,0.01712503711907019
TATAMOTORS,2019,0.025711323705733473
TATAMOTORS,2020,0.039974111195292185
TATAMOTORS,2021,0.03619932854665767
TATAMOTORS,2022,0.028918844746655032
THYROCARE,2016,
THYROCARE,2017,0.01622619654340275
THYROCARE,2018,0.012876192756392879
THYROCARE,2019,0.017492019723712487
THYROCARE,2020,0.025154305583427974
THYROCARE,2021,0.030834216487484373
THYROCARE,2022,0.025298221524505567
TORNTPHARM,2016,0.020905520417211512
TORNTPHARM,2017,0.017967177201861275
TORNTPHARM,2018,0.01742899286088525
TORNTPHARM,2019,0.01664367357993085
TORNTPHARM,2020,0.019615499085509597
TORNTPHARM,2021,0.022607559814186273
TORNTPHARM,2022,0.01819769593459328
TRIDENT,2016,0.042885374740141056
TRIDENT,2017,0.02723972611624067
TRIDENT,2018,0.023269835471822344
TRIDENT,2019,0.02901040112718744
TRIDENT,2020,0.0307152749794812
TRIDENT,2021,0.041508193595821544
TRIDENT,2022,0.03219605762559724
UFLEX,2016,0.03217191629885936
UFLEX,2017,0.023985009378399084
UFLEX,2018,0.022102476922294702
UFLEX,2019,0.025851772978981582
UFLEX,2020,0.026631853610137028
UFLEX,2021,0.02705382245451505
UFLEX,2022,0.027430732315866447
UNIONBANK,2016,0.03198682718013221
UNIONBANK,2017,0.026061748471828183
UNIONBANK,2018,0.024870216267089275
UNIONBANK,2019,0.02876871231584458
UNIONBANK,2020,0.03214184693115535
UNIONBANK,2021,0.02574956182214504
UNIONBANK,2022,0.029303661659303253
UNOMINDA,2016,0.032895586805230005
UNOMINDA,2017,0.02418379166332406
UNOMINDA,2018,0.02266937474460366
UNOMINDA,2019,0.024139024251066114
UNOMINDA,2020,0.029336577007398557
UNOMINDA,2021,0.030971662348343417
UNOMINDA,2022,0.02760586288974304
USHAMART,2016,0.033889710708953316
USHAMART,2017,0.03897182855241278
USHAMART,2018,0.03550758756338223
USHAMART,2019,0.04322640676539752
USHAMART,2020,0.035540413115146684
USHAMART,2021,0.035950232938193175
USHAMART,2022,0.03694035117043893
