stock,year,average_return
MGL,2018,0.00046816505517987156
MGL,2019,0.0006007788026829951
MGL,2020,-0.0004938712567164853
MGL,2021,0.0017622208272868093
MGL,2022,-0.001340293708968974
MPHASIS,2016,0.0013466982293722264
MPHASIS,2017,0.0009574920830582781
MPHASIS,2018,0.0017596789355516919
MPHASIS,2019,0.0009106536120518566
MPHASIS,2020,-0.0012008679339312442
MPHASIS,2021,0.004468549259760608
MPHASIS,2022,0.0028628633005772642
MUTHOOTFIN,2016,-0.00016905948122252032
MUTHOOTFIN,2017,0.003405764684837061
MUTHOOTFIN,2018,0.0007477622767817863
MUTHOOTFIN,2019,0.0018987454745577402
MUTHOOTFIN,2020,0.0006583387314736581
MUTHOOTFIN,2021,0.003102157036358089
MUTHOOTFIN,2022,0.0006588549787617969
NAM-INDIA,2016,
NAM-INDIA,2017,
NAM-INDIA,2018,
NAM-INDIA,2019,-0.00026931946421860845
NAM-INDIA,2020,0.0015728141261890272
NAM-INDIA,2021,0.0016268604806023857
NAM-INDIA,2022,0.000366564578517246
NATIONALUM,2016,-0.0002715100326023888
NATIONALUM,2017,0.0033166527146603793
NATIONALUM,2018,2.714310666954991e-06
NATIONALUM,2019,-0.00016465487010767726
NATIONALUM,2020,-0.0018079167790657638
NATIONALUM,2021,0.0030526318595697315
NATIONALUM,2022,0.004119199324198403
NESCO,2016,3.703656801119821e-05
NESCO,2017,0.0019155741015917742
NESCO,2018,0.000797791832849172
NESCO,2019,-0.0003900018603159565
NESCO,2020,0.0004228603850531809
NESCO,2021,0.0005916687412443179
NESCO,2022,0.00039136062323272134
NEWGEN,2016,
NEWGEN,2017,
NEWGEN,2018,
NEWGEN,2019,0.0016035633966310463
NEWGEN,2020,-0.003906341773472917
NEWGEN,2021,0.0043855723776674025
NEWGEN,2022,0.0024354258605371083
NUCLEUS,2016,0.0013078910574517394
NUCLEUS,2017,0.001338056071699164
NUCLEUS,2018,0.00238384157149675
NUCLEUS,2019,-0.00034482505497232193
NUCLEUS,2020,-0.002047369441600054
NUCLEUS,2021,0.004620276904202438
NUCLEUS,2022,-0.0001994438096338361
ORISSAMINE,2016,-0.0002433655474691162
ORISSAMINE,2017,0.0008929032651832892
ORISSAMINE,2018,-0.0009720528417881488
ORISSAMINE,2019,-0.0017936832196509974
ORISSAMINE,2020,0.0011970230976304393
ORISSAMINE,2021,0.004564383004835862
ORISSAMINE,2022,0.0011156423623074172
PETRONET,2016,0.0016699320765048366
PETRONET,2017,0.002143155657016773
PETRONET,2018,0.0007440910181544418
PETRONET,2019,0.000569153063623037
PETRONET,2020,-0.0004665039375430145
PETRONET,2021,0.0009105430848195515
PETRONET,2022,-0.00030124964848627305
PFC,2016,-0.001385954424928962
PFC,2017,0.0025215681011000863
PFC,2018,-0.0016900579661429272
PFC,2019,0.001682836181372642
PFC,2020,-0.00028983217140552054
PFC,2021,0.0014095296358631005
PFC,2022,0.0005560407166860891
PILANIINVS,2016,-0.0004280644504886062
PILANIINVS,2017,0.0025581911753191065
PILANIINVS,2018,0.0008852158902232435
PILANIINVS,2019,-0.0005674537654802831
PILANIINVS,2020,-0.0022724174056031623
PILANIINVS,2021,0.0030862793964419816
PILANIINVS,2022,0.0005581533307877358
PUNJABCHEM,2016,-0.000461442266785173
PUNJABCHEM,2017,0.003396699854680568
PUNJABCHEM,2018,0.0015671266731528708
PUNJABCHEM,2019,0.002594428558374738
PUNJABCHEM,2020,-0.0027316946422871425
PUNJABCHEM,2021,0.004623188231691611
PUNJABCHEM,2022,0.0024837078944177815
RAILTEL,2016,
RAILTEL,2017,
RAILTEL,2018,
RAILTEL,2019,
RAILTEL,2020,
RAILTEL,2021,
RAILTEL,2022,-0.001357269852884427
RATEGAIN,2016,
RATEGAIN,2017,
RATEGAIN,2018,
RATEGAIN,2019,
RATEGAIN,2020,
RATEGAIN,2021,
RATEGAIN,2022,
RAYMOND,2016,-0.00020529064022532732
RAYMOND,2017,0.002112603353975566
RAYMOND,2018,0.0017196028290893607
RAYMOND,2019,-0.00020782007801448685
RAYMOND,2020,-0.004653393297478742
RAYMOND,2021,0.0022932322534641686
RAYMOND,2022,0.00394402214646863
RBLBANK,2016,
RBLBANK,2017,0.003722027295415009
RBLBANK,2018,1.886086536533805e-05
RBLBANK,2019,0.001619467332163745
RBLBANK,2020,-0.0055134636498352825
RBLBANK,2021,0.002395756492993313
RBLBANK,2022,-0.0013832111243146023
RELAXO,2016,0.000706012321918503
RELAXO,2017,0.001539799360092423
RELAXO,2018,0.001205279797886766
RELAXO,2019,0.0008065939041826899
RELAXO,2020,0.002092965841327774
RELAXO,2021,0.0016922879979175008
RELAXO,2022,0.000989940139713323
RELIANCE,2016,0.0011623698267273991
RELIANCE,2017,0.0010450556562184611
RELIANCE,2018,0.0013093511021208305
RELIANCE,2019,0.0019323206289848791
RELIANCE,2020,-0.00045224093151590355
RELIANCE,2021,0.0026673160785038487
RELIANCE,2022,0.00124385140605205
RELINFRA,2016,0.0013092557030437036
RELINFRA,2017,0.000573111974684604
RELINFRA,2018,-0.0007908996456441815
RELINFRA,2019,-0.0019929657567226886
RELINFRA,2020,-0.009852281895928057
RELINFRA,2021,0.005774344360185161
RELINFRA,2022,0.005676949537678623
SANSERA,2016,
SANSERA,2017,
SANSERA,2018,
SANSERA,2019,
SANSERA,2020,
SANSERA,2021,
SANSERA,2022,-0.0013011928798162238
SHALBY,2016,
SHALBY,2017,
SHALBY,2018,
SHALBY,2019,-0.0016746579681668253
SHALBY,2020,-0.003553748477711117
SHALBY,2021,0.0038146169358161614
SHALBY,2022,0.001064331506488861
SHILPAMED,2016,-0.0003200385977801399
SHILPAMED,2017,0.0019569081221454277
SHILPAMED,2018,-0.0010371346805896006
SHILPAMED,2019,-0.0009432081466901273
SHILPAMED,2020,-0.0007373924674782496
SHILPAMED,2021,0.0017046025350468204
